asset_name,matched_host,model,agent_version,cmdb_id,attached_templates,assetId,assetName,assetType,cmdbStatus,csuId,csuName,customerId,customerName,enrichmentIssue,enrichmentStatus,l1Support,l1SupportName,l2Support,l2SupportName,monitoringAllowed,networkZone,offer,organization
07351ppldbora01,07351ppldbora01,,,DF004P804B,ICMP Ping by Simple check - OB | HPE-ProLiant by SNMP agent - OB,DF004P804B,07351ppldbora01,Equipment,Operational,DO001FKQE5,H-MOS-CHRONODRIVE-OCB0007352-CHA,675092,CHRONODRIVE,Status OK in CMDB,OK,ATQITG,OCB CSD CSS-PHCI MRU L1,ATQIIR,OCB CSD CIS-SHC GLO L2 NGP SYS,true,Internet,Managed Applications,MANAGED SERVICES
07351prldbord01,07351prldbord01,,,DF004P8348,ICMP Ping by Simple check - OB | HPE-ProLiant by SNMP agent - OB,DF004P8348,07351prldbord01,Equipment,Operational,DO001D1YE2,H-MOS-CHRONODRIVE-OCB0007352-VDR,675092,CHRONODRIVE,Status OK in CMDB,OK,ATQITG,OCB CSD CSS-PHCI MRU L1,ATQIIR,OCB CSD CIS-SHC GLO L2 NGP SYS,true,Internet,Managed Applications,MANAGED SERVICES
07553ppldbbdd01,07553ppldbbdd01,,,DF004RHR26,ICMP Ping by Simple check - OB | HPE-ProLiant by SNMP agent - OB,DF004RHR26,07553ppldbbdd01,Equipment,Operational,DO001PH6F5,H-MOS-SMILE-OCB0007541-PREPROD,3483830,ORANGE SA - OBS IT (EX EQUANT FRANCE),"This asset has multiple attachments in DNT on differents L1 team, you must review the DNT definition",CRITICAL,ATQITO,GDO TRUST FRA L1 SD,ATQIIR,OCB CSD CIS-SHC GLO L2 NGP SYS,true,Internet,Managed Applications,MANAGED SERVICES
07553prldbbdd01,07553prldbbdd01,,,DF004RGE31,ICMP Ping by Simple check - OB | HPE-ProLiant by SNMP agent - OB,DF004RGE31,07553prldbbdd01,Equipment,Operational,DO001FEXEC,H-MOS-ORANGE-OCB0007541,3483830,ORANGE SA - OBS IT (EX EQUANT FRANCE),"This asset has multiple attachments in DNT on differents L1 team, you must review the DNT definition",CRITICAL,ATQIH3,OCB CSD CSS-MS EGY L1 SD,ATQIIR,OCB CSD CIS-SHC GLO L2 NGP SYS,true,Internet,Managed Applications,MANAGED SERVICES
07615ppldbbdd01,07615ppldbbdd01,,,DF004RHJ3E,ICMP Ping by Simple check - OB | HPE-ProLiant by SNMP agent - OB,DF004RHJ3E,07615ppldbbdd01,Equipment,Operational,DO001PH6F5,H-MOS-SMILE-OCB0007541-PreProd,3483830,ORANGE SA - OBS IT (EX EQUANT FRANCE),"This asset has multiple attachments in DNT on differents L1 team, you must review the DNT definition",CRITICAL,ATQITO,OCB CSD CSS-SHC FRA L1 SD SecNUMCloud,ATQIIR,OCB CSD CIS-SHC GLO L2 NGP SYS,true,Internet,Managed Applications,MANAGED SERVICES
07615prldbbdd01,07615prldbbdd01,,,DF004RHC37,ICMP Ping by Simple check - OB | HPE-ProLiant by SNMP agent - OB,DF004RHC37,07615prldbbdd01,Equipment,Operational,DO001FEXEC,H-MOS-SMILE-OCB0007541-PROD,3483830,ORANGE SA - OBS IT (EX EQUANT FRANCE),"This asset has multiple attachments in DNT on differents L1 team, you must review the DNT definition",CRITICAL,ATQITO,GDO TRUST FRA L1 SD,ATQIIR,OCB CSD CIS-SHC GLO L2 NGP SYS,true,Internet,Managed Applications,MANAGED SERVICES
07821prldblst02,07821prldblst02,,,DF004RHP24,ICMP Ping by Simple check - OB | HPE-ProLiant by SNMP agent - OB,DF004RHP24,07821prldblst02,Equipment,Operational,DO001GZFF7,H-MOS-FIDEGE-OCB0007616-CHA,675586,FIDEGE,"This asset has multiple attachments in DNT on differents L1 team, you must review the DNT definition",CRITICAL,ATQITG,OCB CSD CSS-PHCI MRU L1,ATQIIR,OCB CSD CIS-SHC GLO L2 NGP SYS,true,Internet,Managed Applications,MANAGED SERVICES
07951PIHPRDB01,07951PIHPRDB01,,,DF004U9N2B,HPE-ProLiant by SNMP agent - OB,DF004U9N2B,07951PIHPRDB01,Equipment,Operational,DO001XYDB4,H-MOS-OPAC SAONE ET LOIRE OFFICE P-OCB0007964,00032442,OPAC SAONE ET LOIRE OFFICE PUB HABITAT,Status OK in CMDB,OK,ATQIH3,OCB CSD CSS-MS EGY L1 SD,ATQIMU,OCB CSD CIS-SHC POL L2 NGP SYS,true,Internet,Managed Applications,MANAGED SERVICES
07954PIHPRDB01,07954PIHPRDB01,,,DF004VKT3B,HPE Synergy BL 480 iLO by HTTP - OB,DF004VKT3B,07954PIHPRDB01,Equipment,Operational,DO001XYDB4,H-MOS-OPAC71-OCB0007964-VDR,00032442,OPAC SAONE ET LOIRE OFFICE PUB HABITAT,Status OK in CMDB,OK,ATQIH3,OCB CSD CSS-MS EGY L1 SD,ATQIIR,OCB CSD CIS-SHC GLO L2 NGP SYS,true,Internet,Managed Applications,MANAGED SERVICES
B2GVDRPRADCUST1.b2gaas-cust.cloud.local,B2GVDRPRADCUST1.b2gaas-cust.cloud.local,,,DF004NVQ6E,Windows by NSCLIENT agent - OB | Windows service discovery by NSCLIENT agent - OB | Pre-Migration Agent Check by Zabbix agent - OB,DF004NVQ6E,B2GVDRPRADCUST1.b2gaas-cust.cloud.local,Equipment,Operational,DO00147KD3,PF-NGP-VdR-Prod-B2GaaS,683649,ORANGE OCB SHARED CLOUD,Status OK in CMDB,OK,ATQIFM,OCB CSD CSS-SHC EGY L1 SagemC,ATQIIR,OCB CSD CIS-SHC GLO L2 NGP SYS,true,Cesson_Default,Cloud Infra Platform-SHC,SHARED CLOUD
